,CC_prox_m,DATE,Month,Day,Year,TagSite,Species,TL,RewardTag1,RewardTag2,Radio_Tag_,Code,Combined,Group_,Notes,Lat,Long,A_D,MortGroup,Ramp,Notes1,DaysPostRe,DistFromRa,geometry,
267,0,6/9/23,6,9,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canpe, Reported",33.86489,-86.103935,A,A,CC,NA,NA,0,c(-86.103935, 33.8648900000001)
268,1361.759599,6/22/23,6,22,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.85903,-86.09251,A,A,CC,NA,NA,1247.716345,c(-86.0925099999999, 33.8590300000001)
269,3284.858146,7/6/23,7,6,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.89242,-86.11052,A,A,CC,NA,NA,3141.164587,c(-86.11052, 33.8924200000001)
270,2624.267324,7/17/23,7,17,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.88587,-86.11249,A,A,CC,NA,NA,2549.019821,c(-86.11249, 33.8858700000001)
271,2721.043292,8/3/23,8,3,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.88669,-86.11275,D,A,CC,NA,NA,2636.662517,c(-86.1127499999999, 33.88669)
272,2715.265968,8/26/23,8,26,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.88665,-86.11269,D,D,CC,NA,NA,2630.575587,c(-86.11269, 33.88665)
273,2718.361778,9/10/23,9,10,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,"CAUGHT on 6/9/2023, Canoe, Reported",33.88667,-86.11266,D,D,CC,NA,NA,2630.583201,c(-86.1126599999999, 33.88667)
274,2733.938697,9/24/23,9,24,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,NA,33.88675,-86.11288,D,D,CC,NA,NA,0,c(-86.11288, 33.8867500000001)
275,2728.161375,10/8/23,10,8,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,NA,33.88673,-86.11282,D,D,CC,NA,NA,0,c(-86.1128199999999, 33.8867300000001)
276,2731.25718,10/23/23,10,23,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,NA,33.88677,-86.11277,D,D,CC,NA,NA,0,c(-86.11277, 33.8867700000001)
277,2721.043292,11/3/23,11,3,2023,106,LMB,418,1600,NA,150.333,I-16,150.333I-16,L,NA,33.88667,-86.11273,D,D,CC,NA,NA,0,c(-86.1127299999999, 33.88667)
