"","DaysFromLastLoc","MetersFromLastLocation","DaysSinceRel","CL_prox_m","Date","TagSite","Species","TL","RewardTag1","Combined","Radio.Tag.Frequency","Ramp","WeeksSinceRel","WeeksFromLastLoc","MetersPerWeek","A.D","GroupMovement"
"1",0,0,0,0,2023-03-11,"6","LMB",499,2411,"150.132I-0",150.132,"CL",0,0,NA,"A","A"
"2",33,9287.17189703593,33,9287.17189703593,2023-04-13,"6","LMB",499,2411,"150.132I-0",150.132,"CL",4.71428571428571,4.71428571428571,1970.00615997732,"A","A"
"3",18,3431.87307480127,51,10528.2840198237,2023-05-01,"6","LMB",499,2411,"150.132I-0",150.132,"CL",7.28571428571429,2.57142857142857,1334.61730686716,"A","A"
"4",8,1719.72611741138,59,8808.55791605879,2023-05-09,"6","LMB",499,2411,"150.132I-0",150.132,"CL",8.42857142857143,1.14285714285714,1504.76035273495,"A","A"
"5",16,2865.27520429245,75,5943.28272638897,2023-05-25,"6","LMB",499,2411,"150.132I-0",150.132,"CL",10.7142857142857,2.28571428571429,1253.55790187795,"A","A"
"6",12,22.5158769524136,87,5965.7985945682,2023-06-06,"6","LMB",499,2411,"150.132I-0",150.132,"CL",12.4285714285714,1.71428571428571,13.1342615555746,"A","A"
"7",15,6.65536028676169,102,5962.67994489663,2023-06-21,"6","LMB",499,2411,"150.132I-0",150.132,"CL",14.5714285714286,2.14285714285714,3.10583480048879,"A","A"
"8",16,28.0579515768115,118,5934.6220040417,2023-07-07,"6","LMB",499,2411,"150.132I-0",150.132,"CL",16.8571428571429,2.28571428571429,12.275353814855,"A","A"
"9",11,17.3214636924209,129,5951.94344823906,2023-07-18,"6","LMB",499,2411,"150.132I-0",150.132,"CL",18.4285714285714,1.57142857142857,11.0227496224497,"A","A"
"10",16,4.33036500412968,145,5953.15514761437,2023-08-03,"6","LMB",499,2411,"150.132I-0",150.132,"CL",20.7142857142857,2.28571428571429,1.89453468930673,"A","A"
"11",24,12.64345633954,169,5962.67994489663,2023-08-27,"6","LMB",499,2411,"150.132I-0",150.132,"CL",24.1428571428571,3.42857142857143,3.68767476569916,"A","A"
"12",15,28.0579515768115,184,5934.6220040417,2023-09-11,"6","LMB",499,2411,"150.132I-0",150.132,"CL",26.2857142857143,2.14285714285714,13.0937107358454,"A","A"
"13",14,20.0924929579877,198,5954.71447750462,2023-09-25,"6","LMB",499,2411,"150.132I-0",150.132,"CL",28.2857142857143,2,10.0462464789938,"A","A"
"14",14,2.77102926556682,212,5951.94344823906,2023-10-09,"6","LMB",499,2411,"150.132I-0",150.132,"CL",30.2857142857143,2,1.38551463278341,"D","A"
"15",0,0,0,0,2023-04-19,"189","LMB",452,68,"150.132I-17",150.132,"CL",0,0,NA,"A","A"
"16",20,5960.51450380399,20,5960.51450380399,2023-05-09,"189","LMB",452,68,"150.132I-17",150.132,"CL",2.85714285714286,2.85714285714286,2086.1800763314,"A","A"
"17",16,479.373966126268,36,6240.8295890988,2023-05-25,"189","LMB",452,68,"150.132I-17",150.132,"CL",5.14285714285714,2.28571428571429,209.726110180242,"A","A"
"18",12,89.0475533678683,48,6329.8769126372,2023-06-06,"189","LMB",452,68,"150.132I-17",150.132,"CL",6.85714285714286,1.71428571428571,51.9444061312565,"A","A"
"19",15,51.626936795715,63,6278.2501024442,2023-06-21,"189","LMB",452,68,"150.132I-17",150.132,"CL",9,2.14285714285714,24.092570504667,"A","A"
"20",16,51.2812207539581,79,6329.53122191646,2023-07-07,"189","LMB",452,68,"150.132I-17",150.132,"CL",11.2857142857143,2.28571428571429,22.4355340798567,"A","A"
"21",11,21.972749217996,90,6333.34044423152,2023-07-18,"189","LMB",452,68,"150.132I-17",150.132,"CL",12.8571428571429,1.57142857142857,13.9826585932702,"A","A"
"22",17,76.399872472612,107,6409.74013458757,2023-08-04,"189","LMB",452,68,"150.132I-17",150.132,"CL",15.2857142857143,2.42857142857143,31.4587710181343,"A","A"
"23",23,398.463987733961,130,6011.27623741741,2023-08-27,"189","LMB",452,68,"150.132I-17",150.132,"CL",18.5714285714286,3.28571428571429,121.271648440771,"A","A"
"24",15,1256.31680423408,145,7267.59295108768,2023-09-11,"189","LMB",452,68,"150.132I-17",150.132,"CL",20.7142857142857,2.14285714285714,586.281175309235,"A","A"
"25",14,1011.01562627448,159,6274.26474306792,2023-09-25,"189","LMB",452,68,"150.132I-17",150.132,"CL",22.7142857142857,2,505.507813137241,"A","A"
"26",14,141.888010535804,173,6132.37693606046,2023-10-09,"189","LMB",452,68,"150.132I-17",150.132,"CL",24.7142857142857,2,70.944005267902,"A","A"
"27",38,4645.4487636465,211,3933.51630167102,2023-11-16,"189","LMB",452,68,"150.132I-17",150.132,"CL",30.1428571428571,5.42857142857143,855.740561724356,"A","A"
"28",18,355.002927622075,229,3868.08313400919,2023-12-04,"189","LMB",452,68,"150.132I-17",150.132,"CL",32.7142857142857,2.57142857142857,138.056694075251,"D","A"
"29",0,0,0,0,2023-04-01,"88","ALB",350,2406,"150.132I-26",150.132,"CL",0,0,NA,"A","A"
"30",12,33.6410278899038,12,33.6410278899038,2023-04-13,"88","ALB",350,2406,"150.132I-26",150.132,"CL",1.71428571428571,1.71428571428571,19.6239329357772,"A","A"
"31",17,333.877989389216,29,330.491173514411,2023-04-30,"88","ALB",350,2406,"150.132I-26",150.132,"CL",4.14285714285714,2.42857142857143,137.479172101442,"A","A"
"32",9,1510.24252061855,38,1716.50757944372,2023-05-09,"88","ALB",350,2406,"150.132I-26",150.132,"CL",5.42857142857143,1.28571428571429,1174.63307159221,"A","A"
"33",0,0,0,0,2023-03-26,"168","ALB",439,142,"150.132J-33",150.132,"CL",0,0,NA,"A","A"
"34",18,7147.04492804758,18,7147.04492804758,2023-04-13,"168","ALB",439,142,"150.132J-33",150.132,"CL",2.57142857142857,2.57142857142857,2779.40636090739,"A","A"
"35",18,8245.18857968822,36,1098.14554203899,2023-05-01,"168","ALB",439,142,"150.132J-33",150.132,"CL",5.14285714285714,2.57142857142857,3206.46222543431,"A","A"
"36",8,7.10128325175082,44,1092.81255880869,2023-05-09,"168","ALB",439,142,"150.132J-33",150.132,"CL",6.28571428571429,1.14285714285714,6.21362284528197,"A","A"
"37",15,15533.0893393684,59,14440.2786709581,2023-05-24,"168","ALB",439,142,"150.132J-33",150.132,"CL",8.42857142857143,2.14285714285714,7248.7750250386,"A","A"
"38",12,22.8740296112831,71,14417.4049166765,2023-06-05,"168","ALB",439,142,"150.132J-33",150.132,"CL",10.1428571428571,1.71428571428571,13.3431839399152,"A","A"
"39",17,1827.28056094285,88,12590.1265891136,2023-06-22,"168","ALB",439,142,"150.132J-33",150.132,"CL",12.5714285714286,2.42857142857143,752.409642741172,"A","A"
"40",15,1316.31841086695,103,13903.3282951022,2023-07-07,"168","ALB",439,142,"150.132J-33",150.132,"CL",14.7142857142857,2.14285714285714,614.281925071245,"A","A"
"41",10,5267.63898699832,113,9759.34466189125,2023-07-17,"168","ALB",439,142,"150.132J-33",150.132,"CL",16.1428571428571,1.42857142857143,3687.34729089883,"A","A"
"42",18,6419.9536223988,131,4084.82525179945,2023-08-04,"168","ALB",439,142,"150.132J-33",150.132,"CL",18.7142857142857,2.57142857142857,2496.64863093287,"A","A"
"43",38,2.7723006266559,169,4087.59750082108,2023-09-11,"168","ALB",439,142,"150.132J-33",150.132,"CL",24.1428571428571,5.42857142857143,0.510686957541877,"D","A"
"44",0,0,0,0,2023-04-15,"38","LMB",485,1461,"150.333J-34",150.333,"CL",0,0,NA,"A","A"
"45",16,5164.30655026261,16,5164.30655026261,2023-05-01,"38","LMB",485,1461,"150.333J-34",150.333,"CL",2.28571428571429,2.28571428571429,2259.38411573989,"A","A"
"46",8,128.821891504634,24,5108.45198610644,2023-05-09,"38","LMB",485,1461,"150.333J-34",150.333,"CL",3.42857142857143,1.14285714285714,112.719155066555,"A","A"
"47",16,87.5224132657643,40,5141.05828880445,2023-05-25,"38","LMB",485,1461,"150.333J-34",150.333,"CL",5.71428571428571,2.28571428571429,38.2910558037719,"A","A"
