"","CL_prox_m","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry"
"1",0,2023-03-11,3,11,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ 19427",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"2",9289.14451042708,2023-04-13,4,13,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.00562167,-85.92642333,"A","CL",NA,NA,8696.713592,c(-85.92642333, 34.00562167)
"3",10534.4290321196,2023-05-01,5,1,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.00525,-85.90412,"A","CL",NA,NA,9911.425436,c(-85.90412, 34.00525)
"4",8810.11728080659,2023-05-09,5,9,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01511,-85.91691,"A","CL",NA,NA,8296.845033,c(-85.91691, 34.01511)
"5",5938.8370902241,2023-05-25,5,25,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01576,-85.94685,"A","CL",NA,NA,5554.162397,c(-85.94685, 34.0157600000001)
"6",5965.16354454897,2023-06-06,6,6,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01582,-85.94662,"A","CL",NA,NA,5576.136728,c(-85.9466199999999, 34.0158200000001)
"7",5961.00534384695,2023-06-21,6,21,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01577,-85.94664,"A","CL",NA,NA,5571.069843,c(-85.9466399999999, 34.01577)
"8",5933.06327497395,2023-07-07,7,7,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.0157,-85.94691,"A","CL",NA,NA,5546.006596,c(-85.9469099999999, 34.0157)
"9",5950.38472266264,2023-07-18,7,18,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01583,-85.94677,"A","CL",NA,NA,5565.323117,c(-85.94677, 34.0158300000001)
"10",5952.00032052886,2023-08-03,8,3,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01579,-85.94676,"A","CL",NA,NA,5563.794938,c(-85.94676, 34.01579)
"11",5961.00534384695,2023-08-27,8,27,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.01577,-85.94663,"A","CL",NA,NA,5571.915684,c(-85.94663, 34.01577)
"12",5933.06327497395,2023-09-11,9,11,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U","3/11/2023 CL, TJ",34.0157,-85.9469,"A","CL",NA,NA,5546.819729,c(-85.9469, 34.0157)
"13",5954.0794281339,2023-09-25,9,25,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U",NA,34.01584,-85.94676,"A","CL",NA,NA,0,c(-85.94676, 34.01584)
"14",5950.38472266264,2023-10-09,10,9,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U",NA,34.01584,-85.94679,"D","CL",NA,NA,0,c(-85.94679, 34.01584)
"15",5942.53179916102,2023-10-23,10,23,2023,6,"LMB",499,2411,"NA",150.132,"I-0","150.132I-0","U",NA,34.01575,-85.94682,"D","CL","Tag on dry land on 11/3/2023, removed",NA,0,c(-85.9468199999999, 34.01575)
"16",0,2023-04-19,4,19,2023,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U","4/19/2023 CL, REPORTED 19466",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"17",5963.2285156587,2023-05-09,5,9,2023,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U","4/19/2023 CL, REPORTED",33.97827,-86.02751,"A","CL",NA,NA,5642.332823,c(-86.0275099999999, 33.9782700000001)
