,DaysElapsed,MetersFromLastLocation,Date,Month,Day,Year,TagSite,Species,TL,RewardTag1,RewardTag2,Radio_Tag_,Code,Combined,Group_,Notes,Lat,Long,A_D,GroupMort,geometry,WeeksElapsed,MetersPerDay,MetersPerWeek,
1,23,311.1852829,8/27/23,8,27,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93376,-85.97702,A,A,c(-85.97702, 33.9337600000001),3.285714286,13.52979491,94.70856436
2,14,183.593845,9/10/23,9,10,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93509,-85.97807,A,A,c(-85.9780699999999, 33.9350900000001),2,13.11384607,91.79692248
3,15,92.79762945,9/25/23,9,25,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93444,-85.97761,A,A,c(-85.97761, 33.9344400000001),2.142857143,6.18650863,43.30556041
4,14,310.9746448,10/9/23,10,9,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93635,-85.97702,A,A,c(-85.97702, 33.9363500000001),2,22.21247463,155.4873224
5,14,288.7472527,10/23/23,10,23,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93447,-85.97793,A,A,c(-85.97793, 33.93447),2,20.62480377,144.3736264
6,11,54.76773774,11/3/23,11,3,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93429,-85.97746,A,A,c(-85.97746, 33.93429),1.571428571,4.978885249,34.85219674
7,13,7.396469944,11/16/23,11,16,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93429,-85.97738,A,A,c(-85.97738, 33.93429),1.857142857,0.568959226,3.982714585
8,18,246.8532142,12/4/23,12,4,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93587,-85.97911,A,A,c(-85.9791099999999, 33.9358700000001),2.571428571,13.71406746,95.99847219
9,15,13.17231761,12/19/23,12,19,2023,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93592,-85.97898,A,A,c(-85.97898, 33.9359200000001),2.142857143,0.878154508,6.147081553
10,16,3.698164075,1/4/24,1,4,2024,169,LMB,501,2,NA,150.333,J-37,150.333J-37,U,Added July 17th,33.93592,-85.97893,A,A,c(-85.9789299999999, 33.9359200000001),2.285714286,0.231135255,1.617946783
