"","DaysElapsed","MetersFromLastLocation","Date","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry","WeeksElapsed","MetersPerDay","MetersPerWeek"
"1",12,23.0958950381522,2023-04-13,2023-04-13,4,13,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.01024833,-85.99723833,"A","CL",NA,NA,21.950926,c(-85.99723833, 34.01024833),1.71428571428571,1.92465791984602,13.4726054389221
"2",17,582.446973866727,2023-04-30,2023-04-30,4,30,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00563,-85.99939,"A","CL",NA,NA,545.497889,c(-85.9993899999999, 34.0056300000001),2.42857142857143,34.2615866980428,239.8311068863
"3",9,154.988305843969,2023-05-09,2023-05-09,5,9,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00677,-86.00029,"A","CL",NA,NA,473.832298,c(-86.0002899999999, 34.0067700000001),1.28571428571429,17.2209228715522,120.546460100865
"4",16,48.3804735923297,2023-05-25,2023-05-25,5,25,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00717,-86.0002,"A","CL",NA,NA,435.395918,c(-86.0001999999999, 34.00717),2.28571428571429,3.0237795995206,21.1664571966442
"5",12,290.708553823571,2023-06-06,2023-06-06,6,6,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00473,-86.00079,"A","CL",NA,NA,689.019173,c(-86.0007899999999, 34.0047300000001),1.71428571428571,24.225712818631,169.579989730417
"6",15,780.831645857416,2023-06-21,2023-06-21,6,21,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.01098,-85.99826,"A","CL",NA,NA,146.139841,c(-85.99826, 34.0109800000001),2.14285714285714,52.0554430571611,364.388101400128
"7",16,1769.28732361032,2023-07-07,2023-07-07,7,7,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.99562,-85.99997,"A","CL",NA,NA,1655.313142,c(-85.99997, 33.99562),2.28571428571429,110.580457725645,774.063204079515
"8",11,797.85368021777,2023-07-18,2023-07-18,7,18,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",34.00264,-85.99958,"A","CL",NA,NA,874.458727,c(-85.99958, 34.00264),1.57142857142857,72.53215274707,507.72506922949
"9",17,1477.38107944553,2023-08-04,2023-08-04,8,4,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.98996,-85.9985,"A","CL",NA,NA,2297.734738,c(-85.9985, 33.9899600000001),2.42857142857143,86.9047693791486,608.333385654041
"10",23,63.519811537633,2023-08-27,2023-08-27,8,27,2023,47,"LMB",385,16,"15",150.222,"I-19","150.222I-19","U","4/1/2023 CL, REPORTED",33.98951,-85.99807,"A","CL",NA,NA,2358.780352,c(-85.99807, 33.9895100000001),3.28571428571429,2.76173093641883,19.3321165549318
