"","SS_prox_m","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry"
"243",0,2023-03-25,3,25,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.943143,-86.022986,"A","SS",NA,NA,0,c(-86.0229859999999, 33.9431430000001)
"244",14544.0395715611,2023-04-13,4,13,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.99164,-85.99945167,"A","SS",NA,NA,13649.902693,c(-85.99945167, 33.9916400000001)
"245",11271.7980583739,2023-05-01,5,1,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.97166,-85.98093,"A","SS",NA,NA,10583.721181,c(-85.9809299999999, 33.97166)
"246",12088.7318946685,2023-05-09,5,9,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.97255,-85.99104,"A","SS",NA,NA,11297.02967,c(-85.9910399999999, 33.9725500000001)
"247",11811.7917339934,2023-05-25,5,25,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.96973,-85.98964,"A","SS",NA,NA,11017.471469,c(-85.98964, 33.96973)
"248",11838.8277885164,2023-06-06,6,6,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.96959,-85.99,"D","SS",NA,NA,11050.138312,c(-85.99, 33.96959)
"249",11833.512462121,2023-07-07,7,7,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED",33.96963,-85.98989,"A","SS",NA,NA,11039.287538,c(-85.9898899999999, 33.9696300000001)
"250",11833.5127418575,2023-07-18,7,18,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED, remove?",33.96955,-85.9899,"D","SS",NA,NA,11040.164332,c(-85.9899, 33.96955)
"251",11831.4343736698,2023-08-03,8,3,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED, remove?",33.96961,-85.98989,"D","SS",NA,NA,11039.208624,c(-85.9898899999999, 33.96961)
"252",11837.2094492808,2023-08-27,8,27,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED, remove?",33.96957,-85.98995,"D","SS",NA,NA,11045.097986,c(-85.98995, 33.96957)
"253",11835.1310810931,2023-09-11,9,11,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U","3/25/23, SOUTHSIDE, REPORTED, remove?",33.96959,-85.98994,"D","SS",NA,NA,11044.134662,c(-85.98994, 33.96959)
"254",11833.5127418575,2023-09-25,9,25,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U",NA,33.96956,-85.98991,"D","SS",NA,NA,0,c(-85.98991, 33.9695600000001)
"255",11829.8160344342,2023-10-09,10,9,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U",NA,33.96957,-85.98986,"D","SS",NA,NA,0,c(-85.98986, 33.96957)
"256",11837.2094492808,2023-10-23,10,23,2023,57,"LMB",525,117,"NA",150.132,"I-13","150.132I-13","U",NA,33.96956,-85.98994,"D","SS","Tag on dry land on 11/3/2023, removed",NA,0,c(-85.98994, 33.9695600000001)
